chrom	start	end	fisher	log10(fisher)	Zscore	pval	top_region
chr22	30000000	30009162	1.5033921819720544	0.1770722874723854	1.4226774790314451	0.0774148360559033	chr22_30000000_30020000
chr22	30000000	30020000	1.4891526584521233	0.172939221140353	1.4084226205300103	0.0795029824710055	chr22_30000000_30020000
chr22	30000000	30020000	1.8375604265945653	0.264241629391654	1.7233226985605758	0.0424150926114984	chr22_30000000_30020000
chr22	30000000	30020000	2.085738512637133	0.3192598603526865	1.913079415328076	0.0278689432728606	chr22_30000000_30020000
chr22	30016476	30020000	2.493061672231565	0.396733022017038	2.1802827139117285	0.0146182558040722	chr22_30000000_30020000
chr22	40000000	40005891	0.7637908510082685	-0.1170255480842263	0.4083402546452767	0.3415119448307655	chr22_40000000_40020000
chr22	40000000	40019613	0.5540956273776532	-0.2564152770432176	-0.07241197704868	0.5288629732443297	chr22_40000000_40020000
chr22	40000000	40020000	0.3966372152961459	-0.4016065396529051	-0.5731735757932063	0.7167364130246702	chr22_40000000_40020000
chr22	40000000	40020000	0.400343579304141	-0.397567132300166	-0.5592417451335625	0.7120016266354428	chr22_40000000_40020000
chr22	40006755	40020000	0.3681214506199582	-0.4340088752605994	-0.6849285470657206	0.7533054945339953	chr22_40000000_40020000
