chrom	start	end	xpehh	Zscore	pval	top_region
chr22	30000051	30000052	-0.0219187	-0.7071275771340346	0.2397435999116289	chr22_30000000_30020000
chr22	30000137	30000138	-0.0219187	-0.7071275771340346	0.2397435999116289	chr22_30000000_30020000
chr22	30000167	30000168	-0.0219187	-0.7071275771340346	0.2397435999116289	chr22_30000000_30020000
chr22	30000188	30000189	-0.0219187	-0.7071275771340346	0.2397435999116289	chr22_30000000_30020000
chr22	30000284	30000285	-0.0529731	-0.7360725097397025	0.2308432857691781	chr22_30000000_30020000
chr22	30000316	30000317	0.00597999	-0.6811239930417184	0.2478965182586066	chr22_30000000_30020000
chr22	30000352	30000353	-0.0229728	-0.7081100740896877	0.2394384520379952	chr22_30000000_30020000
chr22	30000414	30000415	-0.0289932	-0.713721519561478	0.2376996984479367	chr22_30000000_30020000
chr22	30000446	30000447	-0.0449706	-0.7286136046191123	0.2331190270840248	chr22_30000000_30020000
chr22	30000473	30000474	-0.01917	-0.7045655911915208	0.2405403090167768	chr22_30000000_30020000
chr22	30000475	30000476	-0.031231	-0.7158073099868272	0.2370551690356889	chr22_30000000_30020000
chr22	30000480	30000481	-0.0144936	-0.7002068503098053	0.2418990670766017	chr22_30000000_30020000
chr22	30000484	30000485	0.164351	-0.533510829974921	0.2968400081075542	chr22_30000000_30020000
chr22	30000486	30000487	0.269658	-0.4353571378119725	0.3316516085063535	chr22_30000000_30020000
chr22	30000506	30000507	0.592448	-0.1344936596644784	0.4465061121979088	chr22_30000000_30020000
chr22	30000567	30000568	0.546612	-0.1772161057884864	0.4296693226495785	chr22_30000000_30020000
chr22	30000623	30000624	0.492551	-0.227604843023629	0.4099767272902896	chr22_30000000_30020000
chr22	30000624	30000625	0.492551	-0.227604843023629	0.4099767272902896	chr22_30000000_30020000
chr22	30000711	30000712	0.492551	-0.227604843023629	0.4099767272902896	chr22_30000000_30020000
chr22	30000749	30000750	0.492551	-0.227604843023629	0.4099767272902896	chr22_30000000_30020000
chr22	30000776	30000777	0.487205	-0.2325876992278996	0.4080407899908784	chr22_30000000_30020000
chr22	30000829	30000830	0.50247	-0.2183596221687543	0.4135744616330268	chr22_30000000_30020000
chr22	30000839	30000840	0.50247	-0.2183596221687543	0.4135744616330268	chr22_30000000_30020000
chr22	30000849	30000850	0.50247	-0.2183596221687543	0.4135744616330268	chr22_30000000_30020000
chr22	30000859	30000860	0.50247	-0.2183596221687543	0.4135744616330268	chr22_30000000_30020000
chr22	30001008	30001009	0.50247	-0.2183596221687543	0.4135744616330268	chr22_30000000_30020000
chr22	30001075	30001076	0.47061	-0.248055431870973	0.4020457591348064	chr22_30000000_30020000
chr22	30001093	30001094	0.550703	-0.1734029997780727	0.4311673336714533	chr22_30000000_30020000
chr22	30001157	30001158	0.550703	-0.1734029997780727	0.4311673336714533	chr22_30000000_30020000
chr22	30001258	30001259	0.550703	-0.1734029997780727	0.4311673336714533	chr22_30000000_30020000
chr22	30001259	30001260	0.550703	-0.1734029997780727	0.4311673336714533	chr22_30000000_30020000
chr22	30001262	30001263	0.550703	-0.1734029997780727	0.4311673336714533	chr22_30000000_30020000
chr22	30001315	30001316	0.604028	-0.1237002674374949	0.4507762999516234	chr22_30000000_30020000
chr22	30001321	30001322	0.542219	-0.1813106975029197	0.4280618548975391	chr22_30000000_30020000
chr22	30001345	30001346	0.54627	-0.1775348743672107	0.4295441372529616	chr22_30000000_30020000
chr22	30001346	30001347	0.534182	-0.1888017591029426	0.4251240965373066	chr22_30000000_30020000
chr22	30001356	30001357	0.543048	-0.1805380099246668	0.4283651085011003	chr22_30000000_30020000
chr22	30001402	30001403	0.53709	-0.1860912941119179	0.4261865844812231	chr22_30000000_30020000
chr22	30001450	30001451	0.494423	-0.2258600044874534	0.4106551529118644	chr22_30000000_30020000
chr22	30001636	30001637	0.570412	-0.1550327953392458	0.4383977314628954	chr22_30000000_30020000
chr22	30001642	30001643	0.570412	-0.1550327953392458	0.4383977314628954	chr22_30000000_30020000
chr22	30001660	30001661	0.570412	-0.1550327953392458	0.4383977314628954	chr22_30000000_30020000
chr22	30001664	30001665	0.570412	-0.1550327953392458	0.4383977314628954	chr22_30000000_30020000
chr22	30001683	30001684	0.570412	-0.1550327953392458	0.4383977314628954	chr22_30000000_30020000
chr22	30001707	30001708	0.568736	-0.1565949477893688	0.4377820422502784	chr22_30000000_30020000
chr22	30001715	30001716	0.571586	-0.1539385429666656	0.4388290967009825	chr22_30000000_30020000
chr22	30001836	30001837	0.571586	-0.1539385429666656	0.4388290967009825	chr22_30000000_30020000
chr22	30001874	30001875	0.849954	0.1055204386776282	0.4579814264023526	chr22_30000000_30020000
chr22	30001902	30001903	0.731032	-0.0053234119629005	0.4978762759226108	chr22_30000000_30020000
chr22	30001903	30001904	0.731032	-0.0053234119629005	0.4978762759226108	chr22_30000000_30020000
chr22	30001950	30001951	0.731032	-0.0053234119629005	0.4978762759226108	chr22_30000000_30020000
chr22	30001973	30001974	0.718632	-0.0168811031213283	0.4932657340724083	chr22_30000000_30020000
chr22	30001996	30001997	0.737763	0.0009503637780169	0.4996208597642597	chr22_30000000_30020000
chr22	30002051	30002052	0.737763	0.0009503637780169	0.4996208597642597	chr22_30000000_30020000
chr22	30002088	30002089	0.726663	-0.0093956339525111	0.4962517395133666	chr22_30000000_30020000
chr22	30002144	30002145	0.651056	-0.0798667916472897	0.4681716009280902	chr22_30000000_30020000
chr22	30002146	30002147	0.651056	-0.0798667916472897	0.4681716009280902	chr22_30000000_30020000
chr22	30002205	30002206	0.651056	-0.0798667916472897	0.4681716009280902	chr22_30000000_30020000
chr22	30002266	30002267	0.651056	-0.0798667916472897	0.4681716009280902	chr22_30000000_30020000
chr22	30002283	30002284	0.713918	-0.0212748899052661	0.4915131871289366	chr22_30000000_30020000
chr22	30002319	30002320	0.678939	-0.0538778317625765	0.4785162493489142	chr22_30000000_30020000
chr22	30002409	30002410	0.721904	-0.0138313639704916	0.4944822600471493	chr22_30000000_30020000
chr22	30002452	30002453	0.53173	-0.191087199322335	0.4242286381557033	chr22_30000000_30020000
chr22	30002454	30002455	1.18285	0.4158034351192409	0.3387769225079138	chr22_30000000_30020000
chr22	30002505	30002506	1.14598	0.3814379453602704	0.3514391545460562	chr22_30000000_30020000
chr22	30002508	30002509	1.14598	0.3814379453602704	0.3514391545460562	chr22_30000000_30020000
chr22	30002543	30002544	1.14598	0.3814379453602704	0.3514391545460562	chr22_30000000_30020000
chr22	30002547	30002548	1.14598	0.3814379453602704	0.3514391545460562	chr22_30000000_30020000
chr22	30002558	30002559	1.14598	0.3814379453602704	0.3514391545460562	chr22_30000000_30020000
